Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
94.1,25.3,25.1
94.2,25.5,25.3
94.3,25.3,25.1
94.4,25.3,25.1
94.5,25.3,25.1
94.6,25.3,25.1
94.7,25.2,25.1
94.8,25.3,25.1
94.9,25.3,25.1
95.0,25.2,25.1
95.1,25.3,25.1
95.2,25.3,25.1
95.3,25.3,25.1
95.4,25.3,25.1
95.5,25.2,25.1
95.6,25.3,25.1
95.7,25.2,25.1
95.8,25.2,25.1
95.9,25.5,25.3
96.0,25.3,25.1
96.1,25.2,25.1
96.2,25.3,25.1
96.3,25.3,25.1
96.4,25.3,25.1
96.5,25.3,25.2
96.6,25.2,25.1
96.7,25.3,25.1
96.8,25.3,25.1
96.9,25.3,25.1
97.0,25.3,25.1
97.1,25.2,25.1
97.2,25.3,25.1
97.3,25.4,25.3
97.4,25.2,25.1
97.5,25.3,25.1
97.6,25.3,25.1
97.7,25.2,25.1
97.8,25.3,25.1
97.9,25.2,25.1
98.0,25.2,25.1
98.1,25.3,25.1
98.2,25.2,25.1
98.3,25.5,25.3
98.4,25.3,25.1
98.5,25.2,25.1
98.6,25.3,25.1
98.7,25.3,25.1
98.8,25.2,25.1
98.9,25.2,25.1
99.0,25.3,25.1
99.1,25.3,25.1
99.2,25.5,25.2
99.3,25.2,25.1
99.4,25.3,25.1
99.5,25.2,25.1
99.6,25.3,25.1
99.7,25.3,25.1
99.8,25.2,25.1
99.9,25.3,25.1
100.0,25.2,25.1
100.1,25.2,25.1
100.2,25.2,25.1
100.3,25.2,25.1
100.4,25.2,25.1
100.5,25.2,25.1
100.6,25.2,25.1
100.7,25.5,25.2
100.8,25.5,25.2
100.9,25.2,25.1
101.0,25.3,25.1
101.1,25.3,25.0
101.2,25.2,25.1
101.3,25.2,25.0
101.4,25.3,25.1
101.5,25.2,25.1
101.6,25.2,25.1
101.7,25.2,25.1
101.8,25.2,25.1
101.9,25.3,25.1
102.0,25.3,25.1
102.1,25.2,25.0
102.2,25.2,25.1
102.3,25.2,25.1
102.4,25.4,25.2
102.5,25.2,25.1
102.6,25.2,25.1
102.7,25.2,25.1
102.8,25.2,25.1
102.9,25.3,25.1
103.0,25.2,25.1
103.1,25.3,25.1
103.2,25.2,25.0
103.3,25.2,25.1
103.4,25.2,25.1
103.5,25.1,25.1
103.6,25.3,25.1
103.7,25.2,25.1
103.8,25.2,25.1
103.9,25.2,25.1
104.0,25.2,25.1
104.1,25.2,25.1
104.2,25.2,25.1
104.3,25.2,25.1
104.4,25.3,25.1
104.5,25.3,25.1
104.6,25.2,25.1
104.7,25.4,25.2
104.8,25.2,25.0
104.9,25.2,25.1
105.0,25.3,25.1
105.1,25.3,25.2
105.2,25.2,25.1
105.3,25.3,25.1
105.4,25.2,25.1
105.5,25.3,25.1
105.6,25.3,25.1
105.7,25.2,25.1
105.8,25.2,25.0
105.9,25.3,25.0
106.0,25.1,25.1
106.1,25.2,25.1
106.2,25.2,25.1
106.3,25.2,25.1
106.4,25.1,25.1
106.5,25.2,25.1
